Ko 	Úsek 	TV   	O   	M   	SV  	Začátek     	Konec 
D1 	6-8670 	10 704 	28 655 	113 	39 472 	Devět křížů 	Ostrovačice
D1 	6-8680 	11 258 	28 907 	116 	40 281 	Ostrovačice 	Kývalka
D1 	6-8690 	12 128 	33 445 	135 	45 708 	Kývalka 	Brno,západ
D1 	6-8691 	14 258 	44 490 	166 	58 914 	Brno,západ 	Brno,centrum
D1 	6-8692 	14 697 	50 146 	173 	65 016 	Brno,centrum 	Brno,jih
D1 	6-8801 	9 997 	36 263 	140 	46 400 	Brno,jih 	Brno,Slatina
D1 	6-8802 	7 920 	24 896 	100 	32 916 	Brno,Slatina 	Brno,východ
D1 	6-8800 	10 772 	39 971 	157 	50 900 	Brno,východ 	Holubice
D1 	6-8810 	7 907 	30 376 	117 	38 400 	Holubice 	Rousínov
D1 	6-8820 	8 455 	28 970 	105 	37 530 	Rousínov 	Vyškov,západ
D1 	6-8830 	7 379 	25 704 	104 	33 187 	Vyškov,západ 	Vyškov, východ
D1 	6-8840 	2 742 	6 751 	32 	9 525 	Vyškov,vých. 	Ivanovice na Hané
D1 	6-8858 	1 626 	6 944 	31 	8 601 	Ivanovice na Hané 	hr.kr. JM a OL

D1 	2-8019 	9 188 	24 023 	94 	33 305 	Hořice 	Koberovice
D1 	2-8029 	9 620 	24 447 	100 	34 167 	Koberovice 	Humpolec
D1 	5-8019 	10 102 	25 868 	100 	36 070 	Humpolec 	Větrný Jeníkov
D1 	6-8609 	10 455 	25 047 	99 	35 601 	Větrný Jeníkov 	Jihlava
D1 	6-8600 	10 334 	25 165 	101 	35 600 	Jihlava 	Velký Beranov
D1 	6-8610 	9 688 	25 314 	101 	35 103 	Velký Beranov 	Měřín
D1 	6-8620 	10 357 	25 246 	97 	35 700 	Měřín 	Vel.Meziříčí,západ
D1 	6-8630 	10 422 	24 879 	99 	35 400 	V.Meziříčí,západ 	V.Meziříčí,východ
D1 	6-8640 	10 342 	26 545 	101 	36 988 	Velké Meziříčí,východ 	Lhotka
D1 	6-8650 	10 176 	25 081 	100 	35 357 	Lhotka 	Velká Bíteš
D1 	6-8660 	10 919 	27 079 	110 	38 108 	Velká Bíteš 	Devět křížů

D1 	1-8024 	18 610 	69 414 	436 	88 460 	Spořilov 	Chodov
D1 	1-8025 	17 141 	61 859 	360 	79 360 	Chodov 	Průhonice
D1 	1-8026 	17 193 	51 210 	187 	68 590 	Průhonice 	Modletice
D1 	1-8023 	16 184 	54 163 	194 	70 541 	Modletice 	Říčany
D1 	1-8027 	15 180 	58 020 	197 	73 397 	Říčany 	Všechromy
D1 	1-8028 	13 570 	50 027 	175 	63 772 	Všechromy 	Mirošovice
D1 	1-8030 	10 226 	30 762 	118 	41 106 	Mirošovice 	Hvězdonice
D1 	1-8040 	10 128 	30 183 	115 	40 426 	Hvězdonice 	Ostředek
D1 	1-8050 	10 045 	29 072 	114 	39 231 	Ostředek 	Šternov
D1 	1-8060 	9 688 	27 259 	107 	37 054 	Šternov 	Psáře
D1 	1-8070 	8 770 	27 437 	89 	36 296 	Psáře 	Soutice
D1 	1-8080 	9 480 	25 957 	101 	35 538 	Soutice 	Loket
D1 	1-8089 	9 280 	24 563 	97 	33 940 	Loket 	Hořice

Sporilov (1) - Chodov (2)
Chodov (2) - Pruhonice (6)
Prùhonice (6) – Èestlice (8)
Èestlice (8) – Modletice/Øíèany (10)
Modletice/Øíèany (10) – Všechromy (15)
Všechromy (15) – Mirošovice (21)
Mirošovice (21) – Hvìzdonice (29)
Hvìzdonice (29) – Ostøedek (34)
Ostøedek (34) – Šternov (41)
Šternov (41) – Psáøe (49)
Psáøe (49) – Soutice (56)
Soutice (56) – Loket (66)
Loket (66) – Hoøice (75)
Hoøice (75) – Koberovice (81)
Koberovice (81) – Humpolec (90)
Humpolec (90) – Vìtrný Jeníkov (104)
Vìtrný Jeníkov (104) – Jihlava (112)
Jihlava (112) – Velký Beranov (119)
Velký Beranov (119) – Mìøín (134)
Mìøín (134) – Velké Meziøíèí-západ (141)
Velké Meziøíèí-západ (141) – Velké Meziøíèí-východ (146)
Velké Meziøíèí-východ (146) – Lhotka (153)
Lhotka (153) – Velká Bíteš (162)
Velká Bíteš (162) – Devìt Køížù (168)
Devìt Køížù (168) – Ostrovaèice (178)
Ostrovaèice (178) – Kývalka (182)
Kývalka (182) – Brno-západ (190)
Brno-západ (190) – Brno-centrum (194)
Brno-centrum (194) – Brno-jih (196)
Brno-jih (196) – Brno-Slatina (201)
Brno-Slatina (201) – Brno-východ (203)
Brno-východ (203) – Holubice (210)
Holubice (210) – Rousínov (216)
Rousínov (216) – Vyškov-západ (226)
Vyškov-západ (226) – Vyškov-východ (230)
Vyškov-východ (230) – Ivanovice na Hané (236)
Ivanovice na Hané (236) – Moøice (244)
Moøice (244) – Kojetín (253)
Kojetín (253) – Kromìøíž-západ (258)
Kromìøíž-západ (258) – Kromìøíž-východ (260)
Kromìøíž-východ (260) – Hulín-západ (264)
Hulín-západ (264) – Hulín (265)
Hulín (265) – Øíkovice (272)
Lipník nad Beèvou (294) – Hranice (308)
Hranice (308) – Bìlotín (311)
Bìlotín (311) – Mankovice (321)
Mankovice (321) – Hladké Životice (330)
Hladké Životice (330) – Butovice (336)
Butovice (336) – Bravantice (342)
Bravantice (342) – Klimkovice (349)
Klimkovice (349) – Rudná (354)
Rudná (354) – Severní spoj (357)
Severní spoj (357) – Místecká (361)
Místecká (361) – Vrbice (365)
Vrbice (365) – Bohmín (370)
1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
47,7	47,6	52,3	58,7	64,5	68,7	71,4	72,5	75,9	83,1	85,6	91,9	94,9	00,0	98,2	100,7	88,8	93,1	95,7
35,7	37,9	41,6	47,1	52,9	61,8	62,6	64,4	70,6	00,0	00,0	84,0	00,0	00,0	91,9	92,6	82,5	82,7	84,4
33,8	35,8	39,4	45,7	46,8	48,5	50,4	60,0	60,8	65,1	68,0	71,0	73,9	75,8	80,5	83,9	70,0	76,8	76,2
33,8	35,8	39,4	45,7	46,8	48,5	50,4	60,0	60,8	65,1	68,0	71,0	73,9	75,8	80,5	83,9	70,0	70,4	00,0
31,7	34,1	37,6	43,6	42,3	44,0	47,8	46,1	00,0	00,0	58,3	62,6	62,8	68,5	71,1	72,5	71,7	79,8	75,1
30,1	31,8	35,0	40,7	38,6	40,3	42,3	44,2	47,1	48,7	54,7	56,3	59,4	00,0	00,0	65,6	64,3	66,8	66,1
19,9	21,2	22,8	24,3	23,6	26,8	27,7	27,0	31,6	35,1	37,2	37,8	38,7	00,0	00,0	42,5	43,0	45,1	44,1
19,6	20,6	22,4	23,9	23,1	26,5	27,9	00,0	00,0	00,0	00,0	41,3	00,0	00,0	00,0	42,0	41,6	44,0	43,3
19,3	20,4	21,9	23,3	22,6	25,0	27,8	00,0	00,0	00,0	32,2	36,5	38,3	38,8	40,4	40,3 	40,7	42,5	40,5
19,1	20,1	21,7	23,1	22,5	24,8	27,5	00,0	00,0	00,0	00,0	43,2	00,0	00,0	00,0	38,7	39,0	40,6	39,1
18,9	19,9	21,3	22,7	22,7	24,5	26,2	00,0	00,0	00,0	00,0	40,5	00,0	00,0	00,0	36,0	36,5	00,0	00,0
18,0	19,0	20,5	21,9	22,4	22,2	22,2	25,4	27,6	30,2	33,0	33,8	35,7	36,5	37,7	37,2	37,0	37,2	37,0
17,8	18,7	20,3	21,9	22,0	23,9	25,5	00,0	00,0	00,0	00,0	35,7	00,0	00,0	00,0	35,6	35,7	37,3	35,6
17,3	18,1	19,7	21,2	21,4	23,2	25,4	24,7	26,5	29,1	31,0	32,6	00,0	00,0	00,0	00,0	35,7	37,2	35,8
17,2	18,2	19,8	21,3	21,5	23,3	26,7	00,0	00,0	00,0	00,0	34,9	00,0	00,0	00,0	36,0	36,6	38,2	36,5
17,6	18,7	20,4	22,0	21,8	23,7	25,6	25,8	27,3	30,0	32,7	34,3	35,8	36,1	38,2	37,2	37,4	39,2	37,5
17,3	18,6	20,2	21,8	21,6	00,0	27,0	25,8	27,8	28,9	32,6	33,2	36,0	36,9	38,8	38,8	38,1	39,8	38,0
17,3	18,2	19,8	21,3	21,9	00,0	27,4	25,7	27,2	00,0	31,8	33,3	35,0	35,9	38,3	36,3	37,3	39,2	38,1
17,8	18,7	20,3	21,9	22,5	00,0	29,0	00,0	26,7	29,8	31,9	33,9	35,1	35,4	00,0	36,2	36,9	37,6	36,7
18,1	18,8	20,3	22,0	22,6	00,0	27,9	00,0	27,0	30,7	32,4	34,2	35,6	36,4	37,6	35,6	37,2	38,6	36,8
17,8	18,7	20,2	21,8	22,4	00,0	26,7	00,0	27,5	30,7	32,6	33,9	35,9	00,0	00,0	35,9	37,1	38,5	36,7
18,2	19,2	20,7	22,4	24,5	00,0	29,1	00,0	28,4	31,2	33,6	35,5	36,8	37,5	38,0	40,3	37,5	40,0	38,4
18,3	19,1	20,8	22,0	23,6	00,0	27,1	26,7	28,2	31,1	33,4	35,5	36,3	37,2	37,4	37,1	38,0	40,3	38,3
20,2	21,1	23,0	24,3	26,0	00,0	31,4	29,5	31,4	34,2	36,3	37,3	38,8	38,9	00,0	39,7	40,7	43,0	41,4
20,4	21,4	23,4	24,6	26,4	00,0	31,4	29,2	31,3	33,9	35,8	37,5	39,1	39,5	41,3	40,3	41,2	42,6	41,3
20,9	21,8	23,9	25,2	27,0	00,0	31,1	30,2	30,9	34,7	36,7	38,5	39,9	00,0	00,0	42,1	42,9	45,2	43,1
25,4	26,1	28,6	32,3	34,6	00,0	36,2	36,2	38,4	42,1	44,3	45,9	48,5	46,9	00,0	00,0	54,1	54,5	51,7
23,0	23,5	25,8	29,1	31,4	00,0	36,5	38,3	00,0	44,9	46,1	48,0	50,8	00,0	00,0	59,1	59,5	60,1	57,2
22,2	24,6	26,9	30,4	32,8	00,0	42,4	43,7	00,0	52,5	54,1	54,9	57,7	62,3	67,5	66,6	64,6	66,3	63,2
15,9	17,9	19,4	22,0	23,7	00,0	30,5	31,9	34,1	36,1	39,1	40,5	40,8	44,4	00,0	00,0	49,8	50,4	49,1
14,5	16,4	17,6	19,9	21,5	00,0	23,7	24,7	27,1	26,7	30,0	31,4	32,8	35,4	37,1	00,0	35,1	36,0	35,9
24,1	25,9	28,1	31,7	34,2	00,0	32,7	34,4	35,1	38,5	41,1	43,2	45,8	49,0	00,0	49,6	52,9	54,4	52,4
13,9	16,0	17,4	19,7	21,2	00,0	26,8	25,0	27,0	31,4	30,4	31,9	34,2	36,0	39,5	36,1	39,6	41,2	40,3
13,2	15,1	16,4	18,5	19,9	00,0	21,6	23,8	26,1	31,0	29,8	30,8	33,5	35,1	38,2	40,0	40,0	41,8	39,7
12,1	14,2	15,4	17,7	19,4	00,0	20,4	21,7	24,1	00,0	26,9	28,2	30,8	32,2	34,6	31,6	35,5	37,2	36,3
00,0	00,0	00,0	00,0	00,0	00,0	00,0	00,0	00,0	00,0	00,0	00,0	7,00	7,40	00,0	8,60	10,1	11,3	11,2
00,0	00,0	00,0	00,0	00,0	00,0	00,0	00,0	00,0	00,0	00,0	00,0	6,10	6,70	00,0	8,10	9,20	10,4	10,0
